category,type,price,rating,reviews
ART_AND_DESIGN,Free,0.0,4.3,27617.32
ART_AND_DESIGN,Paid,1.99,4.7,722.0
AUTO_AND_VEHICLES,Free,0.0,4.2,14140.28
AUTO_AND_VEHICLES,Paid,4.49,4.6,1387.67
BEAUTY,Free,0.0,4.3,7476.23
BOOKS_AND_REFERENCE,Free,0.0,4.3,108163.91
BOOKS_AND_REFERENCE,Paid,4.28,4.3,64.14
BUSINESS,Free,0.0,4.1,31183.15
BUSINESS,Paid,13.23,4.2,3347.79
COMICS,Free,0.0,4.2,56387.93
COMMUNICATION,Free,0.0,4.2,2264939.02
COMMUNICATION,Paid,3.08,4.1,3119.04
DATING,Free,0.0,4.0,32106.27
DATING,Paid,4.49,3.6,450.57
EDUCATION,Free,0.0,4.4,260270.66
EDUCATION,Paid,4.49,4.8,8661.25
ENTERTAINMENT,Free,0.0,4.1,402504.39
ENTERTAINMENT,Paid,3.99,4.6,5004.5
EVENTS,Free,0.0,4.4,2555.84
EVENTS,Paid,109.99,,0.0
FAMILY,Free,0.0,4.2,227067.3
FAMILY,Paid,12.75,4.3,31657.23
FINANCE,Free,0.0,4.1,50222.15
FINANCE,Paid,170.64,3.8,1364.59
FOOD_AND_DRINK,Free,0.0,4.2,71039.46
FOOD_AND_DRINK,Paid,4.24,4.3,1698.5
GAME,Free,0.0,4.3,1492771.77
GAME,Paid,3.46,4.4,19174.73
HEALTH_AND_FITNESS,Free,0.0,4.3,116448.75
HEALTH_AND_FITNESS,Paid,4.21,4.4,2993.75
HOUSE_AND_HOME,Free,0.0,4.2,45186.19
LIBRARIES_AND_DEMO,Free,0.0,4.2,12346.6
LIBRARIES_AND_DEMO,Paid,0.99,,4.0
LIFESTYLE,Free,0.0,4.1,35359.12
LIFESTYLE,Paid,124.26,4.2,2495.89
MAPS_AND_NAVIGATION,Free,0.0,4.1,232212.62
MAPS_AND_NAVIGATION,Paid,5.39,3.9,1437.6
MEDICAL,Free,0.0,4.2,4387.74
MEDICAL,Paid,13.21,4.3,300.13
NEWS_AND_MAGAZINES,Free,0.0,4.1,193596.66
NEWS_AND_MAGAZINES,Paid,1.99,4.8,100.5
PARENTING,Free,0.0,4.3,16378.71
PARENTING,Paid,4.79,3.4,4183.0
PERSONALIZATION,Free,0.0,4.3,287690.88
PERSONALIZATION,Paid,1.85,4.4,5417.55
PHOTOGRAPHY,Free,0.0,4.2,681424.91
PHOTOGRAPHY,Paid,6.1,4.0,10484.27
PRODUCTIVITY,Free,0.0,4.2,287740.54
PRODUCTIVITY,Paid,8.96,4.2,6132.89
SHOPPING,Free,0.0,4.3,445894.33
SHOPPING,Paid,2.74,4.5,242.0
SOCIAL,Free,0.0,4.3,2127538.29
SOCIAL,Paid,5.32,3.7,80.67
SPORTS,Free,0.0,4.2,196332.04
SPORTS,Paid,4.17,4.3,6276.46
TOOLS,Free,0.0,4.0,356879.88
TOOLS,Paid,3.43,4.2,2204.32
TRAVEL_AND_LOCAL,Free,0.0,4.1,254470.92
TRAVEL_AND_LOCAL,Paid,4.16,4.1,1506.08
VIDEO_PLAYERS,Free,0.0,4.1,645420.01
VIDEO_PLAYERS,Paid,2.62,4.1,3341.75
WEATHER,Free,0.0,4.2,195517.49
WEATHER,Paid,4.05,4.4,17055.12
